starttime	seconds	ctime	dtime	ttime	wait
Sun Feb 26 13:49:09 2017	1488138549	0	1319	1319	1
Sun Feb 26 13:49:36 2017	1488138576	0	1319	1319	1
Sun Feb 26 13:49:09 2017	1488138549	0	1319	1319	1
Sun Feb 26 13:49:08 2017	1488138548	3	1317	1319	33
Sun Feb 26 13:49:53 2017	1488138593	0	1319	1320	1
Sun Feb 26 13:49:35 2017	1488138575	0	1319	1320	0
Sun Feb 26 13:49:08 2017	1488138548	2	1318	1320	28
Sun Feb 26 13:49:36 2017	1488138576	0	1320	1320	2
Sun Feb 26 13:49:39 2017	1488138579	1	1319	1320	0
Sun Feb 26 13:49:39 2017	1488138579	1	1319	1320	0
Sun Feb 26 13:49:36 2017	1488138576	0	1320	1320	1
Sun Feb 26 13:49:36 2017	1488138576	0	1320	1320	1
Sun Feb 26 13:49:28 2017	1488138568	0	1320	1320	2
Sun Feb 26 13:49:36 2017	1488138576	1	1320	1321	0
Sun Feb 26 13:49:36 2017	1488138576	0	1320	1321	1
Sun Feb 26 13:49:42 2017	1488138582	0	1320	1321	1
Sun Feb 26 13:49:28 2017	1488138568	0	1321	1321	2
Sun Feb 26 13:49:41 2017	1488138581	0	1321	1321	2
Sun Feb 26 13:49:16 2017	1488138556	0	1321	1321	1
Sun Feb 26 13:49:42 2017	1488138582	0	1321	1321	1
Sun Feb 26 13:49:42 2017	1488138582	0	1321	1321	0
Sun Feb 26 13:49:45 2017	1488138585	0	1321	1321	1
Sun Feb 26 13:49:45 2017	1488138585	0	1321	1322	1
Sun Feb 26 13:49:31 2017	1488138571	0	1321	1322	1
Sun Feb 26 13:49:31 2017	1488138571	0	1322	1322	2
Sun Feb 26 13:49:32 2017	1488138572	0	1322	1322	1
Sun Feb 26 13:49:43 2017	1488138583	0	1322	1322	1
Sun Feb 26 13:49:31 2017	1488138571	0	1322	1322	1
Sun Feb 26 13:49:35 2017	1488138575	0	1322	1323	0
Sun Feb 26 13:49:04 2017	1488138544	0	1322	1323	1
Sun Feb 26 13:49:28 2017	1488138568	1	1322	1323	3
Sun Feb 26 13:49:42 2017	1488138582	0	1323	1323	1
Sun Feb 26 13:49:39 2017	1488138579	0	1323	1323	1
Sun Feb 26 13:49:39 2017	1488138579	1	1322	1323	0
Sun Feb 26 13:49:32 2017	1488138572	0	1323	1323	1
Sun Feb 26 13:49:33 2017	1488138573	0	1323	1323	1
Sun Feb 26 13:49:35 2017	1488138575	1	1322	1323	1
Sun Feb 26 13:49:28 2017	1488138568	0	1323	1324	2
Sun Feb 26 13:49:35 2017	1488138575	0	1323	1324	1
Sun Feb 26 13:49:35 2017	1488138575	0	1324	1324	0
Sun Feb 26 13:49:17 2017	1488138557	0	1324	1324	1
Sun Feb 26 13:49:09 2017	1488138549	0	1324	1324	2
Sun Feb 26 13:49:27 2017	1488138567	1	1324	1324	1
Sun Feb 26 13:48:52 2017	1488138532	0	1324	1324	1
Sun Feb 26 13:49:39 2017	1488138579	1	1323	1324	0
Sun Feb 26 13:49:17 2017	1488138557	0	1324	1325	1
Sun Feb 26 13:49:31 2017	1488138571	0	1324	1325	1
Sun Feb 26 13:49:25 2017	1488138565	0	1325	1325	1
Sun Feb 26 13:49:32 2017	1488138572	0	1325	1326	2
Sun Feb 26 13:49:35 2017	1488138575	0	1325	1326	1
Sun Feb 26 13:49:26 2017	1488138566	0	1326	1326	0
Sun Feb 26 13:49:39 2017	1488138579	0	1326	1326	1
Sun Feb 26 13:49:32 2017	1488138572	0	1327	1327	1
Sun Feb 26 13:49:33 2017	1488138573	0	1327	1327	1
Sun Feb 26 13:49:39 2017	1488138579	2	1325	1327	1
Sun Feb 26 13:49:36 2017	1488138576	1	1326	1327	2
Sun Feb 26 13:49:46 2017	1488138586	1	1327	1327	1
Sun Feb 26 13:49:42 2017	1488138582	1	1327	1328	1
Sun Feb 26 13:49:32 2017	1488138572	1	1327	1328	2
Sun Feb 26 13:49:36 2017	1488138576	0	1327	1328	1
Sun Feb 26 13:49:17 2017	1488138557	0	1328	1329	2
Sun Feb 26 13:49:32 2017	1488138572	2	1327	1329	0
Sun Feb 26 13:49:46 2017	1488138586	0	1329	1329	1
Sun Feb 26 13:49:35 2017	1488138575	0	1329	1329	2
Sun Feb 26 13:49:39 2017	1488138579	1	1329	1330	1
Sun Feb 26 13:49:09 2017	1488138549	0	1329	1330	1
Sun Feb 26 13:49:11 2017	1488138551	9	1321	1330	24
Sun Feb 26 13:49:33 2017	1488138573	2	1329	1330	1
Sun Feb 26 13:49:22 2017	1488138562	0	1330	1330	1
Sun Feb 26 13:49:31 2017	1488138571	0	1330	1331	0
Sun Feb 26 13:49:07 2017	1488138547	0	1331	1331	1
Sun Feb 26 13:49:33 2017	1488138573	0	1331	1331	1
Sun Feb 26 13:49:43 2017	1488138583	0	1332	1332	0
Sun Feb 26 13:49:35 2017	1488138575	0	1332	1332	1
Sun Feb 26 13:49:43 2017	1488138583	1	1332	1333	1
Sun Feb 26 13:49:31 2017	1488138571	0	1332	1333	1
Sun Feb 26 13:49:35 2017	1488138575	0	1334	1334	0
Sun Feb 26 13:49:39 2017	1488138579	0	1334	1334	0
Sun Feb 26 13:49:42 2017	1488138582	0	1334	1334	1
Sun Feb 26 13:49:32 2017	1488138572	0	1334	1335	1
Sun Feb 26 13:49:17 2017	1488138557	0	1335	1335	1
Sun Feb 26 13:49:26 2017	1488138566	1	1335	1335	3
Sun Feb 26 13:49:32 2017	1488138572	1	1336	1336	1
Sun Feb 26 13:49:39 2017	1488138579	0	1336	1336	1
Sun Feb 26 13:49:39 2017	1488138579	0	1336	1336	1
Sun Feb 26 13:49:46 2017	1488138586	0	1336	1337	0
Sun Feb 26 13:49:09 2017	1488138549	1	1336	1337	1
Sun Feb 26 13:49:31 2017	1488138571	0	1337	1337	0
Sun Feb 26 13:49:39 2017	1488138579	0	1337	1337	0
Sun Feb 26 13:49:07 2017	1488138547	0	1338	1338	1
Sun Feb 26 13:49:09 2017	1488138549	0	1338	1338	1
Sun Feb 26 13:49:09 2017	1488138549	1	1337	1338	1
Sun Feb 26 13:49:39 2017	1488138579	0	1339	1339	1
Sun Feb 26 13:49:42 2017	1488138582	0	1339	1339	2
Sun Feb 26 13:49:11 2017	1488138551	1	1338	1339	42
Sun Feb 26 13:49:46 2017	1488138586	0	1339	1339	0
Sun Feb 26 13:49:46 2017	1488138586	0	1339	1339	0
Sun Feb 26 13:49:36 2017	1488138576	0	1339	1339	0
Sun Feb 26 13:49:39 2017	1488138579	1	1338	1339	0
Sun Feb 26 13:49:05 2017	1488138545	0	1339	1340	7
Sun Feb 26 13:49:50 2017	1488138590	0	1340	1340	0
Sun Feb 26 13:49:36 2017	1488138576	0	1340	1340	6
Sun Feb 26 13:49:04 2017	1488138544	0	1341	1341	1
Sun Feb 26 13:49:53 2017	1488138593	0	1341	1341	0
Sun Feb 26 13:49:31 2017	1488138571	0	1341	1341	2
Sun Feb 26 13:49:41 2017	1488138581	0	1341	1342	0
Sun Feb 26 13:49:17 2017	1488138557	0	1341	1342	1
Sun Feb 26 13:49:36 2017	1488138576	0	1342	1342	0
Sun Feb 26 13:49:31 2017	1488138571	1	1341	1342	1
Sun Feb 26 13:49:14 2017	1488138554	0	1342	1342	1
Sun Feb 26 13:49:36 2017	1488138576	0	1342	1342	1
Sun Feb 26 13:49:39 2017	1488138579	0	1342	1342	1
Sun Feb 26 13:49:50 2017	1488138590	0	1342	1343	1
Sun Feb 26 13:49:46 2017	1488138586	0	1342	1343	0
Sun Feb 26 13:49:35 2017	1488138575	0	1343	1343	2
Sun Feb 26 13:49:35 2017	1488138575	0	1343	1343	0
Sun Feb 26 13:49:24 2017	1488138564	13	1330	1343	39
Sun Feb 26 13:49:50 2017	1488138590	0	1343	1344	0
Sun Feb 26 13:49:46 2017	1488138586	0	1344	1344	1
Sun Feb 26 13:49:45 2017	1488138585	0	1344	1344	0
Sun Feb 26 13:49:28 2017	1488138568	0	1344	1344	1
Sun Feb 26 13:49:31 2017	1488138571	0	1344	1345	1
Sun Feb 26 13:49:46 2017	1488138586	1	1344	1345	1
Sun Feb 26 13:49:46 2017	1488138586	0	1345	1345	1
Sun Feb 26 13:49:50 2017	1488138590	0	1346	1346	1
Sun Feb 26 13:49:43 2017	1488138583	1	1346	1347	1
Sun Feb 26 13:49:36 2017	1488138576	0	1347	1347	1
Sun Feb 26 13:49:40 2017	1488138580	0	1348	1348	1
Sun Feb 26 13:49:39 2017	1488138579	0	1348	1348	1
Sun Feb 26 13:49:32 2017	1488138572	0	1348	1348	3
Sun Feb 26 13:49:50 2017	1488138590	0	1348	1348	0
Sun Feb 26 13:49:40 2017	1488138580	0	1349	1349	1
Sun Feb 26 13:49:36 2017	1488138576	0	1349	1349	1
Sun Feb 26 13:49:46 2017	1488138586	1	1349	1349	1
